word,tf-idf
cheese,47.5426338634
place,46.6484252935
good,43.8066493848
potato,42.4418551314
love,41.8227317458
balls,40.7942522213
food,38.6324971403
porto,37.7783558266
great,36.9296045664
pastries,36.7931819201
line,34.85621117
rolls,32.6360289657
amazing,31.2257534953
delicious,30.8082489018
sandwich,30.3147977508
time,29.911668732
best,29.5186520935
just,29.2782612532
long,28.7987961185
bakery,27.3922109131
like,27.3277188576
sandwiches,26.8036016466
wait,26.5793342843
lines,25.7002977924
guava,25.249315191
cake,24.8828269924
try,24.318003121
worth,23.9137423561
portos,23.8214070799
really,22.5506754517
parking,22.2610625309
ve,22.2261572455
don,21.9797428916
order,21.3827439714
cuban,20.9762935981
cakes,20.4867925854
service,19.5818520564
come,19.2535278718
busy,18.0499729049
meat,17.4638880906
people,16.9720966648
make,16.1257426118
pretty,16.028059637
burbank,15.9508408126
tried,15.7318826326
got,15.4837215667
favorite,15.4348296879
fast,15.3329455237
chicken,15.1770860438
chocolate,14.3165835282
pastry,14.2811702121
fresh,14.1195038221
location,14.0833895851
say,13.8729796035
desserts,13.8432616753
definitely,13.6386764911
sweet,13.3676942728
bread,13.2984706954
awesome,13.2593674982
lunch,13.2184069139
coffee,13.141967523
way,12.9710556138
know,12.8757848114
ordered,12.6885561207
staff,12.5541818856
yummy,12.4706103722
eat,12.4201602629
want,12.3390788691
ball,12.2459742231
roll,12.0440746364
area,12.0317875215
little,11.9248499761
la,11.9160931685
quickly,11.8319988652
right,11.8216848123
prices,11.7602956681
bad,11.745676562
lot,11.6621188277
friendly,11.5263850934
baked,11.5107488947
glendale,11.456891117
sure,11.4409950491
fruit,11.4394903352
going,11.4228450492
think,11.3866721238
super,11.2400235964
stop,11.1781481114
ll,11.1023138021
day,11.0205255238
thing,10.8466612879
home,10.8017003327
cheap,10.7431538645
better,10.7272893111
dessert,10.7084533434
nice,10.6573560598
recommend,10.6210228455
croissant,10.5548657596
taste,10.4831751259
cubano,10.4817262992
pies,10.2961819804
