word,tf-idf
place,54.5702156484
cheese,54.4118530256
good,50.3217774046
potato,48.67530506
balls,47.0736123657
love,47.0180718608
porto,45.2607263461
great,44.7149714069
pastries,43.470629809
food,42.5520844615
line,41.1375867745
rolls,37.8169013989
long,36.2207789952
just,35.9738883182
cake,35.1355728467
time,34.2146089828
lines,33.5605336679
delicious,33.1506649826
amazing,33.0911321402
best,33.0534919155
sandwich,32.1849259286
guava,31.3628790148
like,30.9459060423
sandwiches,29.92132097
wait,29.1268875049
bakery,28.7465957943
really,27.8239433165
try,26.9534872022
worth,26.4551602435
order,26.4407547482
cakes,26.2378227212
don,25.4022393679
ve,25.132326061
portos,25.110091585
cuban,24.4226905925
parking,23.9408090619
service,23.5226002294
meat,20.8353192326
favorite,20.7495113357
people,20.0331616428
got,18.8215051269
pretty,18.7770695331
come,17.9196515948
fast,17.8223388511
pastry,17.7942946666
chocolate,17.4290902079
sweet,17.2489470562
definitely,16.9878830987
prices,16.6384756773
location,16.3672265045
know,16.3101003555
eat,16.2559529375
bread,15.8992656205
say,15.8635722639
burbank,15.7359475977
ordered,15.5131833173
thing,15.4807650429
busy,15.4465283402
chicken,15.3272181882
going,15.2469104524
awesome,15.1610044837
fresh,15.0444600294
make,15.0055796504
lunch,14.849597493
coffee,14.6774498001
tried,14.6485284424
leche,14.6327200685
desserts,14.5432481608
quickly,14.3251272636
baked,14.2495048468
lot,14.1462651511
staff,13.9615273429
ll,13.8845198345
super,13.3884542778
think,13.2783073768
recommend,13.2667744692
better,13.0955104992
sure,13.0406663591
croissant,12.919936562
friendly,12.8769982633
way,12.7906317873
day,12.7443683193
goods,12.6403549025
area,12.5511563134
want,12.5176170691
little,12.4977232587
need,12.4930440209
home,12.4456735695
fruit,12.2512964762
dozen,12.2252323162
taste,12.1624050466
things,11.9821433245
usually,11.9011644169
pies,11.8747385088
chips,11.8548742202
stars,11.7913343052
right,11.7608100866
wrong,11.5624741089
roll,11.470866883
bad,11.4446991552
