word,tf-idf
cheese,55.7467097223
place,51.7956542542
good,50.6966924485
potato,50.622547362
balls,47.0772307049
porto,45.0603568399
love,43.1692527329
great,41.9393419987
food,41.5330394651
pastries,39.6540249865
rolls,39.1522574952
line,38.2577662872
amazing,35.6369188971
delicious,35.2330209092
sandwich,35.0104950614
time,34.998609219
just,34.9056579953
best,34.3066137628
bakery,34.0994709375
sandwiches,32.1584540149
long,32.0351976032
like,31.8734183796
guava,31.3322259374
try,31.1387959618
wait,29.6677218957
lines,29.4943780972
cakes,28.7919219999
ve,28.4235311687
worth,28.3128590869
cake,27.8553481666
cuban,27.4868035993
really,27.0086880037
order,25.9719174251
don,23.9776919385
portos,23.2787982707
come,22.7755224175
service,22.3831199718
parking,21.6560046557
pretty,21.3466040084
meat,21.2423858741
people,20.7479591334
fast,20.7146086362
chicken,20.3607856306
lunch,19.6548608745
definitely,18.9490359963
prices,18.4651451877
pastry,18.274944873
burbank,18.1508583649
busy,18.0882125628
desserts,17.4491675315
tried,17.3589174537
favorite,17.2568303686
got,16.9670672437
chocolate,16.8858644677
say,16.7153285018
sweet,16.5306076881
location,16.2944163881
make,16.0684887543
la,16.0419376558
eat,16.0396761807
area,15.7767111894
way,15.7364380669
thing,15.4591178051
ordered,15.4346803735
staff,15.2205549912
fresh,15.1181573192
ball,15.0060295306
super,14.7191167934
ll,14.534795779
awesome,14.5292133596
better,14.3804716165
recommend,14.3801317978
coffee,14.3214262908
sure,14.3210914984
yummy,14.3183466772
stop,14.2338776369
know,14.2259836364
croissant,14.2236093942
want,14.030905426
crowded,13.2966056223
things,13.2222639846
little,13.2026157064
chips,12.9824226034
think,12.8140658863
times,12.8079502224
day,12.6987819527
lot,12.6193229219
roll,12.314472541
mango,12.236688555
going,12.1980002159
friendly,12.0698314259
bread,12.0450909347
didn,12.03205368
leche,11.9884552905
pies,11.9056593268
cubano,11.7791170748
family,11.7286733701
cheap,11.6628418794
home,11.6274489938
glendale,11.5454124352
