word,tf-idf
cheese,53.0521265233
place,47.7134630438
potato,44.9345153191
balls,43.4413967923
good,41.572286835
love,39.1692958868
porto,37.6135901992
rolls,37.4059043822
line,35.031164979
food,34.9987079109
pastries,34.3255388782
great,34.2800077374
just,30.6470352225
amazing,28.2700411805
like,28.0751987166
best,27.8845872054
sandwiches,27.8794045684
cake,27.6515106481
long,27.5241946482
sandwich,27.3367298475
delicious,27.2346604799
time,26.8453959897
bakery,26.2039419591
wait,26.0941820399
guava,25.7375163782
parking,24.4291416522
worth,24.3509288864
really,23.7265058036
lines,23.3353797353
portos,23.2611159387
ve,22.9191727993
don,22.6730061311
try,22.5267256102
cakes,22.4968538135
order,19.6483163905
cuban,19.1501377656
pastry,19.1064569349
service,19.0109277368
come,18.3245163621
meat,18.3202769874
people,17.8695789445
prices,17.2875973376
burbank,16.9960595412
got,16.3919631539
fast,16.3765241542
fresh,16.3523155265
desserts,16.1327831073
chicken,15.2797588545
eat,15.246206772
busy,15.1526963632
sweet,14.8167655469
pretty,14.5888593801
tried,14.480623342
favorite,14.4646505919
say,14.2409464853
coffee,14.0256750485
definitely,13.828939731
mango,13.6167738579
know,13.5884030317
lot,13.343005625
yummy,13.3171383744
make,13.0306488046
lunch,12.966798639
roll,12.8610682604
want,12.8211821935
recommend,12.5928679578
chocolate,12.5387978757
location,12.5292172273
fruit,12.050894394
little,11.74903678
going,11.6161569807
super,11.5099589943
area,11.4995435301
ball,11.4699039976
crowded,11.355457051
awesome,11.3440631916
la,11.3113249478
ordered,11.299604972
way,11.293748203
better,11.2897964466
day,11.2024162487
thing,11.0152278004
think,11.0088636058
tasty,10.9961080673
stop,10.9162257306
went,10.8792326613
ll,10.8317156744
wrong,10.8170301735
glendale,10.7525685627
baked,10.6993824468
times,10.4348230061
right,10.3818651704
need,10.3534607521
die,10.3409078355
staff,10.2920483578
bread,10.2566527913
things,10.1394756493
dozen,10.0549878153
quickly,9.87974528406
home,9.84101584744
