word,tf-idf
cheese,214.951728914
place,204.244628792
good,190.075497983
potato,189.629067795
balls,180.772336299
love,174.915750473
porto,169.680329112
food,161.069386062
great,160.305396483
pastries,157.628260361
line,152.653482763
rolls,149.120477994
just,133.76505954
amazing,129.570449357
delicious,128.889574655
time,128.842810417
best,127.885798878
sandwich,127.510607663
long,126.754337154
like,121.305165233
cake,119.014441105
sandwiches,118.632603807
bakery,118.532959852
guava,116.168689938
lines,114.270967027
wait,112.983604136
try,106.977916892
worth,104.483221325
really,102.759277398
ve,100.837154678
cakes,100.828345807
portos,97.7507118623
order,97.3820023214
don,96.5314625445
parking,94.1051239241
cuban,93.4939719072
service,86.4390165796
come,79.988740559
meat,78.7657542676
people,77.2522066078
pretty,72.2881734004
fast,71.3849547151
pastry,71.1535402457
got,69.9958906284
favorite,69.1903759609
chicken,68.888135162
burbank,67.9112758377
busy,67.7067021869
prices,65.6934878467
definitely,64.1120679446
tried,63.9298826479
chocolate,63.5363442137
sweet,63.4677502481
desserts,63.0238158243
lunch,62.6517234776
say,62.3979890669
fresh,61.9511649449
make,61.8327969454
eat,61.5039208284
location,59.9608277956
know,58.7514301231
coffee,57.5338082092
ordered,56.9965816151
awesome,55.2656153107
way,54.1902770559
thing,54.0645606092
want,53.6084609533
lot,52.9492892407
staff,52.639027705
area,52.6333116598
bread,52.3453473398
yummy,52.3338722743
ll,51.8078274978
going,51.7118306914
super,51.6564396623
ball,51.5261676476
recommend,51.4658501929
better,51.0725371432
little,50.9653921256
la,50.9408954741
think,50.1159229507
roll,49.757808778
day,49.2136177193
sure,49.1595449836
croissant,48.5517992595
stop,47.7035522755
mango,47.4494388727
fruit,47.2204256444
baked,47.2115937442
friendly,46.9190931553
leche,46.9139835853
quickly,46.5764096604
right,46.530267029
things,46.514983586
chips,46.3719394525
home,45.7238275915
need,44.9555293586
glendale,44.5187426952
times,43.9706953446
taste,43.8648571673
