word,rating,count
amaze,5.0,12
da,5.0,12
delights,5.0,13
king,5.0,15
staples,5.0,12
surrounding,5.0,13
thee,5.0,13
dear,4.947,19
definite,4.947,19
nom,4.947,19
haves,4.944,18
complimentary,4.938,16
deliciously,4.929,14
pounds,4.929,14
provide,4.929,14
ca,4.923,13
circle,4.923,13
ha,4.923,13
rose,4.923,13
inca,4.917,12
waistline,4.917,12
magical,4.889,18
member,4.889,18
world,4.886,123
addictive,4.885,26
northern,4.882,17
runs,4.882,17
southern,4.878,41
attentive,4.875,24
macaroons,4.875,16
native,4.875,16
mariquitas,4.871,31
closer,4.867,83
happiness,4.867,15
drool,4.861,36
california,4.86,93
clients,4.857,14
cravings,4.857,14
eatery,4.857,14
fruity,4.857,14
gain,4.857,14
gem,4.857,35
hasn,4.857,56
rock,4.857,14
notch,4.853,34
swear,4.85,20
types,4.85,20
fam,4.846,13
instantly,4.846,13
planning,4.846,26
smoothly,4.846,13
trust,4.846,52
yummmm,4.846,13
earth,4.844,32
ive,4.842,19
satisfy,4.842,19
streets,4.842,19
weight,4.842,19
buds,4.84,25
disappoints,4.84,25
fruits,4.84,25
north,4.84,25
fave,4.839,31
blow,4.833,12
childhood,4.833,12
closest,4.833,18
deciding,4.833,12
drawback,4.833,12
flew,4.833,12
gifts,4.833,12
meaty,4.833,24
rum,4.833,12
set,4.833,36
shakes,4.833,12
southwest,4.833,18
trips,4.833,12
intimidated,4.829,35
introduced,4.828,29
phenomenal,4.828,29
secret,4.826,23
monday,4.824,17
depending,4.821,28
discouraged,4.821,28
heavenly,4.821,56
staple,4.821,28
freakin,4.818,22
keeping,4.818,22
parents,4.818,22
perfection,4.818,66
preparada,4.818,44
studios,4.818,22
town,4.816,141
words,4.816,76
homemade,4.813,16
plane,4.813,16
reheat,4.813,16
speedy,4.813,16
staffed,4.813,16
bacon,4.811,37
wide,4.811,37
holy,4.81,42
lemon,4.81,42
summer,4.81,21
rellenitos,4.808,26
pleasure,4.806,31
addicted,4.8,25
catered,4.8,15
delight,4.8,20
florida,4.8,15
magic,4.8,15
peak,4.8,45
sf,4.8,25
tummy,4.8,20
favorites,4.799,204
watering,4.794,34
anytime,4.793,29
combination,4.793,29
heaven,4.793,174
hubby,4.793,29
crack,4.792,24
decadent,4.792,24
smell,4.792,24
convenient,4.789,19
nicely,4.789,19
sandwhiches,4.789,19
midnight,4.787,47
appetite,4.786,14
cortadito,4.786,14
drooling,4.786,14
obsessed,4.786,14
ride,4.786,28
squeezed,4.786,84
yea,4.786,14
reasonably,4.784,74
lovers,4.783,23
mmmm,4.783,23
reasons,4.783,23
scrumptious,4.781,32
god,4.779,86
sooo,4.779,68
angeles,4.778,72
cater,4.778,18
county,4.778,27
infamous,4.778,27
practically,4.778,18
raved,4.778,18
lucky,4.776,67
amazingly,4.774,62
delectable,4.774,53
faves,4.774,31
extensive,4.773,22
mojo,4.773,22
best,4.772,1104
south,4.771,35
drop,4.769,26
fries,4.769,13
gold,4.769,13
stayed,4.769,13
sun,4.769,13
shared,4.767,30
hits,4.765,17
hooked,4.765,34
mmmmm,4.762,21
omg,4.762,126
reading,4.762,42
efficiently,4.76,25
intimidating,4.76,25
los,4.76,75
mouth,4.76,196
oc,4.76,25
amazing,4.759,1263
mile,4.759,29
soooo,4.758,66
lived,4.756,82
everytime,4.755,53
blended,4.754,57
share,4.754,61
die,4.753,219
orange,4.753,150
socal,4.753,146
medianoche,4.752,141
appetizer,4.75,12
bits,4.75,16
cal,4.75,52
delightful,4.75,40
destination,4.75,12
dislike,4.75,20
gosh,4.75,12
managed,4.75,32
memories,4.75,12
omelet,4.75,20
plaintain,4.75,24
promise,4.75,12
ratio,4.75,20
sheer,4.75,12
spiced,4.75,12
boyfriend,4.747,91
incredible,4.747,87
freshly,4.746,67
parisian,4.746,63
reminds,4.744,39
desert,4.743,35
espresso,4.743,35
melts,4.742,31
beautifully,4.741,27
birthdays,4.741,27
love,4.741,1777
moves,4.741,259
noche,4.741,58
selections,4.741,27
pickles,4.74,50
awesome,4.739,380
delish,4.739,69
kinds,4.739,23
pricing,4.739,23
smooth,4.739,23
tender,4.739,46
addicting,4.738,42
highly,4.738,183
swiss,4.738,42
universal,4.737,19
samples,4.736,72
affordable,4.735,151
mmm,4.735,34
shake,4.735,34
cars,4.733,15
cheesecakes,4.733,15
lightly,4.733,30
favorite,4.732,590
tooth,4.732,56
perfectly,4.73,100
flan,4.729,59
ah,4.727,22
country,4.727,22
fabulous,4.727,44
gathering,4.727,11
lover,4.727,22
oven,4.727,44
pleasant,4.727,33
yum,4.727,198
frequent,4.724,29
disappoint,4.723,47
gotta,4.722,54
juice,4.722,115
mission,4.722,18
norcal,4.722,54
reviewed,4.722,18
delicious,4.721,1504
regret,4.72,50
recommend,4.719,377
bomb,4.717,120
live,4.717,247
muffin,4.717,60
advice,4.714,14
beach,4.714,14
cheeserolls,4.714,14
daily,4.714,35
favs,4.714,21
generous,4.714,14
gift,4.714,14
girlfriend,4.714,14
memory,4.714,14
nut,4.714,14
period,4.714,14
puffs,4.714,21
shortbread,4.714,14
slight,4.714,21
triple,4.714,49
west,4.714,28
absolute,4.712,52
rolls,4.712,1758
continue,4.71,31
haven,4.71,221
bet,4.708,24
deliciousness,4.708,48
inexpensive,4.708,72
thank,4.707,99
consistent,4.706,34
covered,4.706,34
excellent,4.706,194
fantastic,4.706,180
row,4.706,17
scared,4.706,17
speaks,4.706,17
spices,4.706,17
thanksgiving,4.706,17
trip,4.706,204
media,4.705,61
parties,4.705,78
chai,4.702,47
avocado,4.7,30
beautiful,4.7,120
carb,4.7,20
cuba,4.7,20
discovered,4.7,30
gorgeous,4.7,30
helpful,4.7,150
potatoe,4.7,50
superb,4.7,20
tiny,4.7,40
75,4.697,33
million,4.697,33
prices,4.697,522
reasonable,4.697,185
form,4.696,23
kisses,4.696,161
mini,4.696,46
velvet,4.695,190
downside,4.694,49
la,4.694,421
omelette,4.694,36
valley,4.694,72
visit,4.694,343
wonderful,4.694,147
23,4.692,13
fool,4.692,13
growing,4.692,13
kiss,4.692,52
listed,4.692,13
lord,4.692,13
panini,4.692,13
weather,4.692,13
westside,4.692,13
wonderfully,4.692,13
efficient,4.691,181
seriously,4.691,175
treats,4.691,149
ice,4.69,42
patient,4.69,71
personal,4.689,61
killer,4.688,16
marinated,4.688,16
papas,4.688,16
snack,4.688,48
goodies,4.687,195
pies,4.687,364
oh,4.686,363
visiting,4.686,102
dulce,4.685,305
single,4.685,92
classic,4.684,19
combo,4.684,19
deliver,4.684,19
deserts,4.684,57
headed,4.684,19
fresh,4.683,597
miami,4.683,63
papa,4.683,41
buttery,4.682,88
green,4.682,44
possibly,4.682,22
torta,4.682,157
traditional,4.682,22
stop,4.681,401
friendly,4.68,338
outdoor,4.68,25
absolutely,4.679,221
equally,4.679,28
fast,4.679,629
imagine,4.679,53
round,4.679,28
tamales,4.679,53
toasted,4.679,28
diego,4.677,31
gives,4.676,37
tapatio,4.676,34
lives,4.674,46
puff,4.673,52
quick,4.673,300
beat,4.671,73
worth,4.671,890
cupcakes,4.67,91
melt,4.67,94
croissants,4.669,172
grab,4.669,124
smoothie,4.669,293
60,4.667,15
bar,4.667,39
blend,4.667,15
breads,4.667,75
cali,4.667,12
cherry,4.667,33
constantly,4.667,30
crumbs,4.667,15
diet,4.667,51
dream,4.667,30
events,4.667,21
everyday,4.667,48
fajita,4.667,30
feast,4.667,12
guava,4.667,1439
holiday,4.667,33
impressive,4.667,27
ish,4.667,12
kick,4.667,18
mayonnaise,4.667,15
melted,4.667,21
mornings,4.667,18
mouthwatering,4.667,12
panera,4.667,12
passing,4.667,12
positive,4.667,15
quicker,4.667,15
rellenas,4.667,15
sampled,4.667,15
shocked,4.667,18
soups,4.667,30
sourdough,4.667,33
starting,4.667,12
surely,4.667,12
sweeter,4.667,21
tradition,4.667,12
varieties,4.667,15
wash,4.667,15
worry,4.667,42
selection,4.663,181
dozen,4.662,388
danish,4.661,165
horchata,4.661,109
plan,4.661,62
berries,4.66,50
cheese,4.66,3470
city,4.66,47
drive,4.66,212
mashed,4.66,156
wow,4.66,144
bean,4.657,35
croissant,4.657,461
entire,4.657,70
dozens,4.656,32
glad,4.656,90
spacious,4.656,32
eaten,4.655,84
express,4.655,29
meet,4.655,29
overwhelming,4.655,55
perfect,4.655,275
filled,4.654,254
guacamole,4.654,26
plus,4.653,124
grabbed,4.652,23
oiled,4.652,23
suggestions,4.652,23
thinking,4.652,69
ton,4.651,43
accommodating,4.65,20
bake,4.65,20
cappuccino,4.65,20
pleasantly,4.65,20
red,4.65,217
wondering,4.65,20
desserts,4.649,533
dollar,4.649,37
strudels,4.649,134
airport,4.648,88
goodness,4.648,142
locations,4.648,108
mango,4.648,440
quickly,4.648,395
aka,4.647,17
breakfast,4.647,309
compared,4.647,34
divine,4.647,34
leche,4.647,397
rocks,4.647,17
theres,4.647,17
tricky,4.647,17
vegas,4.647,17
choose,4.646,130
head,4.646,65
muffins,4.646,48
opened,4.646,48
organized,4.646,65
sample,4.646,82
savory,4.646,237
steak,4.646,229
individual,4.645,31
bring,4.644,275
surprise,4.644,45
bob,4.643,14
classy,4.643,14
flow,4.643,14
heck,4.643,28
included,4.643,14
italian,4.643,56
latte,4.643,126
legendary,4.643,14
longest,4.643,14
mojito,4.643,14
paste,4.643,14
pasties,4.643,14
savories,4.643,14
surrounded,4.643,14
tortas,4.643,14
yelper,4.643,14
super,4.642,425
blueberry,4.64,25
counters,4.64,25
favor,4.64,25
pace,4.64,25
coworkers,4.639,36
great,4.639,1668
sooooo,4.639,36
cubano,4.638,337
soo,4.638,47
mousse,4.637,284
seasoned,4.637,91
juices,4.636,22
questions,4.636,22
scare,4.636,22
sweetness,4.636,55
tres,4.636,220
definitely,4.635,603
looks,4.635,126
oj,4.635,52
hands,4.634,101
tiramisu,4.634,93
variety,4.634,131
list,4.633,98
literally,4.633,109
makes,4.633,196
appreciate,4.632,19
brunch,4.632,38
easily,4.632,57
exceptional,4.632,19
wished,4.632,19
ground,4.631,122
san,4.631,84
bay,4.63,127
tart,4.63,281
chocolate,4.629,671
nearby,4.629,35
spinach,4.629,116
buy,4.628,247
balls,4.627,2635
mocha,4.627,67
baked,4.626,412
baguette,4.625,24
croquettes,4.625,288
distance,4.625,16
gf,4.625,16
kids,4.625,32
plantains,4.625,88
slice,4.625,56
spending,4.625,16
winner,4.625,16
occasion,4.623,53
roasted,4.623,69
smoothies,4.623,130
usually,4.622,339
empanadas,4.621,269
light,4.621,153
sliced,4.621,29
juicy,4.619,42
travel,4.619,21
yay,4.619,21
cookies,4.617,206
original,4.617,47
moving,4.616,99
priced,4.616,138
accommodate,4.615,13
cheat,4.615,13
course,4.615,195
delivery,4.615,13
eggs,4.615,13
gigantic,4.615,13
layout,4.615,13
leches,4.615,195
lets,4.615,13
mother,4.615,39
team,4.615,13
tired,4.615,13
plenty,4.614,114
raspberry,4.614,127
breaded,4.613,31
lots,4.613,119
pie,4.613,274
cheap,4.612,361
stuffed,4.612,103
totally,4.612,121
weekend,4.612,121
airy,4.611,18
branch,4.611,18
brother,4.611,36
challenge,4.611,18
cooked,4.611,36
potato,4.611,3054
stock,4.611,18
streudel,4.611,18
surprisingly,4.611,54
vacation,4.611,18
70,4.61,41
chorizo,4.61,100
lovely,4.61,41
porto,4.61,2711
sized,4.61,41
bakeries,4.609,128
em,4.609,23
goes,4.609,184
random,4.609,23
standard,4.609,23
